"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08037820","Hudson town, Colorado",918,293,439,1565,519,749,2356,834,1433,"37820"
"G08037875","Hugo town, Colorado",660,171,261,885,230,403,730,162,310,"37875"
"G08038370","Idaho Springs city, Colorado",1834,667,949,1889,572,1020,1717,448,919,"38370"
"G08038425","Idalia CDP, Colorado",NA,NA,NA,NA,NA,NA,88,23,41,"38425"
"G08038480","Idledale CDP, Colorado",NA,NA,NA,NA,NA,NA,252,62,151,"38480"
"G08038535","Ignacio town, Colorado",720,215,302,669,200,311,697,180,319,"38535"
"G08038590","Iliff town, Colorado",174,44,78,213,40,93,266,65,106,"38590"
"G08038810","Indian Hills CDP, Colorado",NA,NA,NA,1197,379,726,1280,266,752,"38810"
"G08038910","Inverness CDP, Colorado",NA,NA,NA,NA,NA,NA,1532,765,1016,"38910"
"G08039160","Jackson Lake CDP, Colorado",NA,NA,NA,NA,NA,NA,154,16,65,"39160"
"G08039195","Jamestown town, Colorado",251,124,152,205,95,143,274,76,167,"39195"
"G08039250","Jansen CDP, Colorado",NA,NA,NA,NA,NA,NA,112,17,44,"39250"
"G08039745","Joes CDP, Colorado",NA,NA,NA,NA,NA,NA,80,15,37,"39745"
"G08039800","Johnson Village CDP, Colorado",NA,NA,NA,NA,NA,NA,246,42,111,"39800"
"G08039855","Johnstown town, Colorado",1579,476,672,3827,1339,1977,9887,3196,4930,"39855"
"G08039965","Julesburg town, Colorado",1295,306,501,1467,350,583,1225,243,521,"39965"
"G08040185","Keenesburg town, Colorado",570,166,273,855,267,395,1127,293,524,"40185"
"G08040377","Ken Caryl CDP, Colorado",24391,11050,13598,30887,10922,17402,32438,8798,17439,"40377"
"G08040515","Kersey town, Colorado",980,309,440,1389,431,621,1454,396,658,"40515"
"G08040550","Keystone CDP, Colorado",NA,NA,NA,825,301,387,1079,403,588,"40550"
"G08040570","Kim town, Colorado",76,23,36,65,20,32,74,7,24,"40570"
"G08040790","Kiowa town, Colorado",275,102,130,581,211,289,723,200,352,"40790"
"G08040900","Kirk CDP, Colorado",NA,NA,NA,NA,NA,NA,59,4,28,"40900"
"G08041010","Kit Carson town, Colorado",305,85,112,253,54,94,233,48,93,"41010"
"G08041065","Kittredge CDP, Colorado",NA,NA,NA,954,387,607,1304,334,727,"41065"
"G08041560","Kremmling town, Colorado",1166,426,553,1578,530,828,1444,383,730,"41560"
"G08041835","Lafayette city, Colorado",14548,6436,7820,23197,8889,13217,24453,7251,13246,"41835"
"G08042000","Laird CDP, Colorado",NA,NA,NA,NA,NA,NA,47,6,25,"42000"
"G08042055","La Jara town, Colorado",725,193,281,877,215,378,818,178,340,"42055"
"G08042110","La Junta city, Colorado",7637,2065,3080,7568,1860,3164,7077,1554,2899,"42110"
"G08042165","La Junta Gardens CDP, Colorado",NA,NA,NA,NA,NA,NA,153,23,65,"42165"
"G08042330","Lake City town, Colorado",223,98,130,375,117,221,408,95,196,"42330"
